kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning
察	3	4	477	14	717	619	サツ	サツ			surmise, guess, understand	guess, presume, surmise, judge, understand
様	3	3	493	14	718	403	ヨウ	ヨウ, ショウ	さま	さま, さん	condition, Mr., Ms.	Esq., way, manner, situation, polite suffix
冷	3	4	667	7	719	832	レイ	レイ	つめ(たい), さ(める), さ(ます), ひ(える), ひ(やす)	つめ･たい, ひ･える, ひ･や, ひ･ややか, ひ･やす, ひ･やかす, さ･める, さ･ます	cold	cool, cold (beer, person), chill
迷	3	5	942	9	721	967	メイ	メイ	まよ(う)	まよ･う	lose, go astray, vacillate	astray, be perplexed, in doubt, lost, err, illusion
全	3	3	75	6	724	89	ゼン	ゼン	まった(く), すべ(て)	まった･く, すべ･て	all, entire, whole	whole, entire, all, complete, fulfill
然	3	4	401	12	725	651	ゼン, ネン	ゼン, ネン		しか, しか･り, しか･し, さ	as, like, so	sort of thing, so, if so, in that case, well
残	3	4	380	10	728	650	ザン	ザン, サン	のこ(る), のこ(す)	のこ･る, のこ･す, そこな･う, のこ･り	remain, leave	remainder, leftover, balance
散	3	4	758	12	729	767	サン	サン	ち(る), ち(らす), ち(らかる), ち(らかす)	ち･る, ち･らす, -ち･らす, ち･らかす, ち･らかる, ち･らばる, ばら, ばら･ける	scatter, disperse	scatter, disperse, spend, squander
参	3	4	201	8	733	710	サン	サン, シン	まい(る)	まい･る, まい-, まじわる, みつ	come, go, visit	nonplussed, three (in documents), going, coming, visiting, visit, be defeated, die, be madly in love, participate, take part in
賛	3	5	868	15	734	745	サン	サン		たす･ける, たた･える	praise, approve	approve, praise, title or inscription on picture, assist, agree with
次	3	3	222	6	735	384	ジ, シ	ジ, シ	つぎ, つ(ぐ)	つ･ぐ, つぎ	next	next, order, sequence
直	3	2	246	8	736	423	チョク, ジキ	チョク, ジキ, ジカ	なお(す), なお(る), ただ(ち に)	ただ･ちに, なお･す, -なお･す, なお･る, なお･き, す･ぐ	direct, fix, immediately	straightaway, honesty, frankness, fix, repair
歯	3	3	1106	12	737	478	シ	シ	は	よわい, は, よわ･い, よわい･する	tooth	tooth, cog
示	3	5	237	5	739	615	ジ, シ	ジ, シ	しめ(す)	しめ･す	show, indicate	show, indicate, point out, express, display
師	3	5	563	10	740	409	シ	シ		いくさ	teacher, army	expert, teacher, master, model, exemplar, army (incl. counter), war
資	3	5	179	13	741	750	シ	シ			resources, funds, capital	assets, resources, capital, funds, data, be conducive to, contribute to
路	3	3	529	13	743	151	ロ	ロ, ル	じ	-じ, みち	road, street	path, route, road, distance
似	3	5	923	7	746	1486	ジ	ジ	に(る)	に･る, ひ･る	resemble, similar	becoming, resemble, counterfeit, imitate, suitable
除	3	6	594	10	747	1065	ジョ, ジ	ジョ, ジ	のぞ(く)	のぞ･く, -よ･け	remove, exclude	exclude, division (x/3), remove, abolish, cancel, except
飛	3	4	580	9	749	530	ヒ	ヒ	と(ぶ), と(ばす)	と･ぶ, と･ばす, -と･ばす	fly	fly, skip (pages), scatter
流	3	3	280	10	752	247	リュウ, ル	リュウ, ル	なが(れる), なが(す)	なが･れる, なが･れ, なが･す, -なが･す	flow, current	current, a sink, flow, forfeit
守	3	3	457	6	753	490	シュ, ス	シュ, ス	まも(る), もり	まも･る, まも･り, もり, -もり, かみ	protect, defend, obey	guard, protect, defend, obey
増	3	5	231	14	755	712	ゾウ	ゾウ	ま(す), ふ(える), ふ(やす)	ま･す, ま･し, ふ･える, ふ･やす	increase, rise	increase, add, augment, gain, promote
識	3	5	496	19	756	681	シキ	シキ		し･る, しる･す	know, discriminate	discriminating, know, write
実	3	3	68	8	760	203	ジツ	ジツ, シツ	み, みの(る)	み, みの･る, まこと, みの, みち･る	true, real, fruit, nut	reality, truth, seed, fruit, nut
昔	3	3	1197	8	762	764	セキ, シャク	セキ, シャク	むかし	むかし	antiquity, long ago	once upon a time, antiquity, old times
