learned	on'yomi	on'yomi kana	kun'yomi	kun'yomi kana	meaning	ref_sh_kk
90	JI	ジ	aza	あざ	letter, character, mark	110
91	SOKU	ソク	ashi	あし	foot, leg, suffice	58
92	MI	ミ	aji(wau)	あじ(わう)	taste	307
93	SHIN	シン	ara(ta), atara(shii), ni(i)	あら(た), あたら(しい), に(い)	new, fresh	174
94	SHUU	シュウ	atsu(maru), atsu(meru)	あつ(まる), あつ(める)	collect, gather	436
95	KEI, KYOU	ケイ, キョウ	ani	あに	older brother	406
96	HO, BU	ホ, ブ	aru(ku), ayu(mu)	ある(く), あゆ(む)	walk, step	431
97	SHI	シ	ane	あね	older sister	407
98	YUU, U	ユウ, ウ	a(ru)	あ(る)	have, exist	265
99	AN	アン	yasu(i)	やす(い)	peaceful, cheap	105
100	I	イ			medicine, doctor	220
101	I	イ			mind, heart, attention	132
102	I	イ			with, from	46
103	GEN, GON	ゲン, ゴン	i(u), koto	い(う), こと	word, say, speech	66
104	KYUU	キュウ	iso(gu)	いそ(ぐ)	hurry	303
105	KA, KE	カ, ケ	ie, ya	いえ, や	house, family	165
106	KEN	ケン	inu	いぬ	dog	280
107	MAI	マイ	imouto	いもうと	younger sister	408
108	SHOKU, SHIKI	ショク, シキ	iro	いろ	color	204
109	ON, IN	オン, イン	oto, ne	おと, ね	sound	347
110	IN	イン			member, official	163
111	IN	イン			institution	614
112	IN	イン	no(mu)	の(む)	drink	323
113	GYO	ギョ	uo, sakana	うお, さかな	fish	290
114	DOU	ドウ	ugo(ku), ugo(kasu)	うご(く), うご(かす)	move	231
115	GYUU	ギュウ	ushi	うし	cattle	281
116	KA	カ	uta, uta(u)	うた, うた(う)	song, sing	392
117	SHA	シャ	utsu(su), utsu(ru)	うつ(す), うつ(る)	copy	540
118	EI	エイ	utsu(ru), utsu(su), ha(eru)	うつ(る), うつ(す), は(える)	reflect, project	352
119	KAI	カイ	umi	うみ	sea, ocean	117
120	BAI	バイ	u(ru)	う(る)	sell	239
121	UN	ウン	hako(bu)	はこ(ぶ)	carry, luck	439
122	JUU, CHOU	ジュウ, チョウ	e, omo(i), kasa(naru), kasa(neru)	え, おも(い), かさ(なる), かさ(ねる)	heavy	227
123	EI	エイ			England, grand	353
124	EKI	エキ			station	284
125	SHUU	シュウ	o(waru), o(eru)	お(わる), お(える)	finish	458
126	TA	タ	oo(i)	おお(い)	many	229
127	KI	キ	o(kiru), o(koru), o(kosu)	お(きる), お(こる), お(こす)	get up, rise	373
128	OKU	オク	ya	や	roof, house, shop	167
129	SOU	ソウ	oku(ru)	おく(る)	send	441
130	KYOU	キョウ	oshi(eru), oso(waru)	おし(える), おそ(わる)	teach	245
131	TEI, DAI	テイ, ダイ	otouto	おとうと	younger brother	405
132	DOU	ドウ	ona(ji)	おな(じ)	same	198
133	SHU	シュ	omo, nushi	おも, ぬし	main, master	155
134	SHI	シ	omo(u)	おも(う)	think	99
135	SHIN	シン	oya, shita(shii)	おや, した(しい)	parent, familiar	175
136	KA	カ	hana	はな	flower	255
137	KA	カ	natsu	なつ	summer	461
138	GA, KAKU	ガ, カク			picture, drawing	343
139	KAI	カイ			world	454
140	BAI	バイ	ka(u)	か(う)	buy	241
141	KI	キ	kae(ru), kae(su)	かえ(る), かえ(す)	return	317
142	DAI, TAI	ダイ, タイ	ka(eru), ka(waru), shiro, yo	か(える), か(わる), しろ, よ	substitute, price	256
143	GAKU, RAKU	ガク, ラク	tano(shii), tano(shimu)	たの(しい), たの(しむ)	pleasure, music	358
144	FUU, FU	フウ, フ	kaze	かぜ	wind, style	29
145	TAI	タイ	ka(su)	か(す)	lend	748
146	HOU	ホウ	kata	かた	person, way, direction	70
147	SHI	シ	kami	かみ	paper	180
148	TSUU	ツウ	too(ru), too(su), kayo(u)	とお(る), とお(す), かよ(う)	pass, communicate	150
149	TAI, TEI	タイ, テイ	karada	からだ	body, form	61
150	SHAKU	シャク	ka(riru)	か(りる)	borrow, rent	766
151	KAN	カン			Chinese	556
152	KAN	カン	yakata	やかた	building, palace	327
153	GEN, GAN	ゲン, ガン	moto	もと	beginning, origin	137
154	KOU	コウ	kanga(eru)	かんが(える)	think, consider	541
155	CHAKU	チャク	ki(ru), ki(seru), tsu(ku), tsu(keru)	き(る), き(せる), つ(く), つ(ける)	wear, arrive	657
156	KYUU	キュウ	kiwa(meru)	きわ(める)	study, research	895
157	KYO, KO	キョ, コ	sa(ru)	さ(る)	leave, go away	414
158	KYOU, KEI	キョウ, ケイ			capital	189
159	KYOU, GOU	キョウ, ゴウ	tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)	つよ(い), つよ(まる), つよ(める), し(いる)	strong	217
160	GYOU, GOU	ギョウ, ゴウ	waza	わざ	work, industry	279
161	SETSU	セツ	ki(ru), ki(reru)	き(る), き(れる)	cut	39
162	KIN	キン	chika(i)	ちか(い)	near, recent	445
163	GIN	ギン			silver	313
164	KOU, KU	コウ, ク	kuchi	くち	mouth	54
165	KOU, KU	コウ, ク			construction, craft	139
166	KOKU	コク	kuro(i)	くろ(い)	black	206
167	KEI	ケイ	haka(ru), haka(rau)	はか(る), はか(らう)	plan, measure	340
168	KEN	ケン	to(gu)	と(ぐ)	grind, research	896
169	KEN	ケン	ta(tsu), ta(teru)	た(つ), た(てる)	build	892
170	KEN	ケン			test	532
171	KO	コ	furu(i), furu(su)	ふる(い), ふる(す)	old, ancient	172
172	KOU	コウ	hiro(i), hiro(maru), hiro(meru), hiro(garu), hiro(geru)	ひろ(い), ひろ(まる), ひろ(める), ひろ(がる), ひろ(げる)	wide, broad	694
173	SHIN	シン	kokoro	こころ	heart, mind	97
174	SHI	シ	tame(su), kokoro(miru)	ため(す), こころ(みる)	try, test	526
175	TOU	トウ	kota(e), kota(eru)	こた(え), こた(える)	answer, solution	160
176	JI	ジ	koto	こと	thing, matter, affair	80
177	TEN	テン	koro(garu), koro(geru), koro(gasu), koro(bu)	ころ(がる), ころ(げる), ころ(がす), ころ(ぶ)	turn	433
178	SAKU, SA	サク, サ	tsuku(ru)	つく(る)	make, work	360
179	CHA, SA	チャ, サ			tea	251
180	SOU	ソウ	haya(i), haya(maru), haya(meru)	はや(い), はや(まる), はや(める)	early, fast	248
181	SHI	シ	to(maru), to(meru)	と(まる), と(める)	stop	477
182	JI, SHI	ジ, シ	mizuka(ra)	みずか(ら)	self	62
183	SHI	シ	tsuka(eru)	つか(える)	serve, attend	333
184	SHI	シ	shi(nu)	し(ぬ)	die, death	85
185	SHI	シ	haji(maru), haji(meru)	はじ(まる), はじ(める)	begin	494
186	SHI	シ	tsuka(u)	つか(う)	use	331
187	SHI	シ	watashi, watakushi	わたし, わたくし	private, I	125
188	CHI, JI	チ, ジ			ground, land	118
189	JI	ジ	mo(tsu)	も(つ)	have, hold	451
190	SHITSU, SHICHI	シツ, シチ			quality, nature	176
191	SHITSU	シツ	muro	むろ	room	166
192	HIN	ヒン	shina	しな	article, quality	230
193	SHA	シャ	yashiro	やしろ	company, shrine	308
194	SHA	シャ	mono	もの	person	164
195	SHU	シュ	te	て	hand	57
196	SHUU	シュウ			week	92
197	SHUU	シュウ	nara(u)	なら(う)	learn	591
198	JUU	ジュウ	su(mu), su(mau)	す(む), す(まう)	live, dwell, reside	156
199	SHUN	シュン	haru	はる	spring (season)	460
200	SEI, SHOU	セイ, ショウ	tada(shii), tada(su), masa	ただ(しい), ただ(す), まさ	right, correct	275
201	SHOU	ショウ	suku(nai), suko(shi)	すく(ない), すこ(し)	little, few	144
202	JOU	ジョウ	ba	ば	place	154
203	CHI	チ	shi(ru)	し(る)	know	214
204	SHIN	シン	ma	ま	true, reality	422
205	ZU, TO	ズ, ト	haka(ru)	はか(る)	drawing, plan	339
206	SEI, SE	セイ, セ	yo	よ	world, era	252
207	SEKI	セキ	yuu	ゆう	evening	81
208	SOU	ソウ	hashi(ru)	はし(る)	run	429
209	ZOKU	ゾク			family, tribe	221
210	CHUU	チュウ	soso(gu)	そそ(ぐ)	note, pour	357
211	DEN	デン	ta	た	rice field	35
212	DAI, TAI	ダイ, タイ			stand, pedestal	492
213	TAI	タイ	ma(tsu)	ま(つ)	wait	452
214	DAI	ダイ			topic, title	354
215	TO, DO, TAKU	ト, ド, タク	tabi	たび	time, degree	377
216	RITSU	リツ	ta(tsu), ta(teru)	た(つ), た(てる)	stand, raise	121
217	RYO	リョ	tabi	たび	travel, trip	222
218	RYOKU, RIKI	リョク, リキ	chikara	ちから	strength, force, power	100
219	CHUU	チュウ	hiru	ひる	daytime, noon	470
220	CHOU	チョウ	machi	まち	town	182
221	CHOU	チョウ	tori	とり	bird	285
222	TEN	テン	mise	みせ	store, shop	168
223	MON	モン	to(u), to(i), ton	と(う), と(い), とん	question, problem	162
224	TOU	トウ	fuyu	ふゆ	winter	459
225	DOU, TOU	ドウ, トウ	michi	みち	way, street, path	149
226	DOU	ドウ			hall, temple	496
227	TOKU	トク			special	282
228	NIKU	ニク			meat, flesh	223
229	YA	ヤ	no	の	field, plain	236
230	HATSU, HOTSU	ハツ, ホツ			start, leave, emit	96
231	HAN	ハン	meshi	めし	cooked rice, meal	325
232	BYOU, HEI	ビョウ, ヘイ	ya(mu), yamai	や(む), やまい	illness	380
