kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
台	4	2	262	5	212	492		ダイ, タイ	ダイ, タイ		うてな, われ, つかさ	stand, pedestal	pedestal, a stand, counter for machines and vehicles	
待	4	3	391	9	213	452		タイ	タイ	ま(つ)	ま･つ, -ま･ち	wait	wait, depend on	
題	4	3	96	18	214	354		ダイ	ダイ			topic, title	topic, subject	
度	4	3	110	9	215	377		ト, ド, タク	ド, ト, タク	たび	たび, -た･い	time, degree	degrees, occurrence, time, counter for occurrences, consider, attitude	
立	4	1	58	5	216	121	121	リツ	リツ, リュウ, リットル	た(つ), た(てる)	た･つ, -た･つ, た･ち-, た･てる, -た･てる, た･て-, たて-, -た･て, -だ･て, -だ･てる	stand, raise	stand up, rise, set up, erect	
旅	4	3	783	10	217	222	222	リョ	リョ	たび	たび	travel, trip	trip, travel	
力	4	1	62	2	218	100	100	リョク, リキ	リョク, リキ, リイ	ちから	ちから	strength, force, power	power, strength, strong, strain, bear up, exert	
昼	4	2	1115	9	219	470		チュウ	チュウ	ひる	ひる	daytime, noon	daytime, noon	
町	4	1	292	7	220	182	182	チョウ	チョウ	まち	まち	town	town, village, block, street	
鳥	4	2	1043	11	221	285	285	チョウ	チョウ	とり	とり	bird	bird, chicken	
店	4	2	378	8	222	168	168	テン	テン	みせ	みせ, たな	store, shop	store, shop	
問	4	3	64	11	223	162	162	モン	モン	と(う), と(い), とん	と･う, と･い, とん	question, problem	question, ask, problem	
冬	4	2	1090	5	224	459		トウ	トウ	ふゆ	ふゆ	winter	winter	
道	4	2	207	12	225	149	149	ドウ, トウ	ドウ, トウ	みち	みち, いう	way, street, path	road-way, street, district, journey, course, moral, teachings	
堂	4	5	1010	11	226	496		ドウ	ドウ			hall, temple	public chamber, hall	
特	4	4	234	10	227	282	282	トク	トク			special	special	
肉	4	2	986	6	228	223	223	ニク	ニク		しし	meat, flesh	meat	
野	4	2	120	11	229	236	236	ヤ	ヤ, ショ	の	の, の-	field, plain	plains, field, rustic, civilian life	
発	4	3	32	9	230	96	96	ハツ, ホツ	ハツ, ホツ		た･つ, あば･く, おこ･る, つか･わす, はな･つ	start, leave, emit, publish	departure, discharge, publish, emit, start from, disclose, counter for gunshots	
飯	4	4	1046	12	231	325	325	ハン	ハン	めし	めし	cooked rice, meal	meal, boiled rice	
病	4	3	384	10	232	380		ビョウ, ヘイ	ビョウ, ヘイ	や(む), やまい	や･む, -や･み, やまい	illness	ill, sick	
不	4	4	101	4	233	94	94	フ, ブ	フ, ブ			not, un-	negative, non-, bad, ugly, clumsy	
服	4	3	873	8	234	683		フク	フク			clothes, submit	clothing, admit, obey, discharge	
物	4	3	215	8	235	79	79	ブツ, モツ	ブツ, モツ	もの	もの, もの-	thing, object	thing, object, matter	
文	4	1	190	4	236	111	111	ブン, モン	ブン, モン	ふみ	ふみ, あや	sentence, letter	sentence, literature, style, art, decoration, figures, plan, literary radical (no. 67)	
別	4	4	214	7	237	267	267	ベツ	ベツ	わか(れる)	わか･れる, わ･ける	separate, another	separate, branch off, diverge, fork, another, extra, specially	
勉	4	3	1066	10	238	735		ベン	ベン		つと･める	effort, endeavor	exertion, endeavour, encourage, strive, make effort, diligent	
目	4	1	76	5	239	55	55	モク, ボク	モク, ボク	め	め, -め, ま-	eye	eye, class, look, insight, experience, care, favor	
用	4	2	107	5	240	107	107	ヨウ	ヨウ	もち(いる)	もち･いる	use, business, service	utilize, business, service, use, employ	
夜	4	2	487	8	241	471		ヤ	ヤ	よ, よる	よ, よる	night, evening	night, evening	
曜	4	2	940	18	242	19	19	ヨウ	ヨウ			day of the week	weekday	
洋	4	3	763	9	243	289	289	ヨウ	ヨウ			ocean, Western	ocean, sea, foreign, Western style	
理	4	2	86	11	244	143	143	リ	リ		ことわり	reason, principle, logic	logic, arrangement, reason, justice, truth	
料	4	4	295	10	245	319	319	リョウ	リョウ			fee, materials	fee, materials	
公	4	2	118	4	517	126	126	コウ	コウ, ク	おおやけ	おおやけ	public, official	public, prince, official, governmental	
的	4	4	105	8	793	210	210	テキ	テキ	まと	まと	target, mark, object	bull's eye, mark, target, object, adjective ending	
石	3	1	342	5	335	78	78	セキ, シャク	セキ, シャク, コク	いし	いし	stone	stone	
王	3	1	684	4	397	294	294	オウ	オウ, -ノウ			king	king, rule, magnate	
草	3	1	967	9	612	249	249	ソウ	ソウ	くさ	くさ, くさ-, -ぐさ	grass	grass, weeds, herbs, pasture, write, draft	
耳	3	1	1328	6	246	56	56	ジ	ジ	みみ	みみ	ear	ear	
合	3	2	41	6	258	159	159	ゴウ, ガッ, カッ	ゴウ, ガッ, カッ	あ(う), あ(わす), あ(わせる)	あ･う, -あ･う, あ･い, あい-, -あ･い, -あい, あ･わす, あ･わせる, -あ･わせる	fit, suit, match	fit, suit, join, 0.1	
市	3	2	42	5	261	181	181	シ	シ	いち	いち	city, market	market, city, town	
内	3	2	44	4	364	84	84	ナイ, ダイ	ナイ, ダイ	うち	うち	inside	inside, within, between, among, house, home	
回	3	2	50	6	250	90	90	カイ, エ	カイ, エ	まわ(る), まわ(す)	まわ･る, -まわ･る, -まわ･り, まわ･す, -まわ･す, まわ･し-, -まわ･し, もとお･る, か･える	a time, turn, revolve	-times, round, game, revolve, counter for occurrences	
米	3	2	61	6	677	224	224	ベイ, マイ	ベイ, マイ, メエトル	こめ	こめ, よね	rice, America	rice, USA, metre	
当	3	2	91	6	295	77	77	トウ	トウ	あ(てる), あ(たる)	あ･たる, あ･たり, あ･てる, あ･て, まさ･に, まさ･にべし	hit, win, allot	hit, right, appropriate, himself	
首	3	2	98	9	263	148	148	シュ	シュ	くび	くび	neck, head	neck, counter for songs and poems	
数	3	2	148	13	465	225	225	スウ, ス	スウ, ス, サク, ソク, シュ	かず, かぞ(える)	かず, かぞ･える, しばしば, せ･める, わずらわ･しい	number, count	number, strength, fate, law, figures	
記	3	2	149	10	524	371	372	キ	キ	しる(す)	しる･す	write/note down	scribe, account, narrative	2023-07-04T16:51:25.101736
点	3	2	165	9	604	169	169	テン	テン	つ(く), つ(ける)	つ･ける, つ･く, た･てる, さ･す, とぼ･す, とも･す, ぼち	point, dot	spot, point, mark, speck, decimal point	2023-07-04T16:51:25.101736
活	3	2	171	9	476	237	237	カツ	カツ	い(きる), い(かす), い(ける)	い･きる, い･かす, い･ける	life, activity	lively, resuscitation, being helped, living	2023-07-04T16:51:25.101736
原	3	2	172	10	636	136	136	ゲン	ゲン	はら	はら	original, plain, field	meadow, original, primitive, field, plain, prairie, tundra, wilderness	2023-07-05T20:18:00.672447
交	3	2	178	6	448	114	114	コウ	コウ	ま(じる), まじ(わる), ま(ぜる), ま(ざる), か(う)	まじ･わる, まじ･える, ま･じる, まじ･る, ま･ざる, ま･ぜる, -か･う, か･わす, かわ･す, こもごも	exchange, mix, associate	mingle, mixing, association, coming & going	2023-07-05T20:18:00.672447
組	3	2	204	11	615	418	424	ソ	ソ	くみ, く(む)	く･む, くみ, -ぐみ	class, crew, assemble	association, braid, plait, construct, assemble, unite, cooperate, grapple	2023-07-05T20:18:00.672447
引	3	2	218	4	248	216	216	イン	イン	ひ(く), ひ(ける)	ひ･く, ひ･ける	pull, draw	pull, tug, jerk, admit, install, quote, refer to	2023-07-06T20:20:43.754228
直	3	2	246	8	736	423	429	チョク, ジキ	チョク, ジキ, ジカ	なお(す), なお(る), ただ(ちに)	ただ･ちに, なお･す, -なお･す, なお･る, なお･き, す･ぐ	direct, honest, fix, immediately	straightaway, honesty, frankness, fix, repair	2023-07-06T20:20:43.754228
番	3	2	348	12	429	185	185	バン	バン		つが･い	number, order, watch	turn, number in a series	2023-07-06T20:20:43.754228
声	3	2	388	7	269	746	759	セイ, ショウ	セイ, ショウ	こえ, こわ	こえ, こわ-	voice	voice	2023-07-08T17:07:19.233789
形	3	2	418	7	466	395	399	ケイ, ギョウ	ケイ, ギョウ	かたち, かた	かた, -がた, かたち, なり	form, shape	shape, form, style	2023-07-08T17:07:19.233789
頭	3	2	433	16	293	276	276	トウ, ト, ズ	トウ, ズ, ト	あたま, かしら	あたま, かしら, -がしら, かぶり	head, leader, top	head, counter for large animals	2023-07-08T17:07:19.233789
光	3	2	527	6	256	138	138	コウ	コウ	ひかり, ひか(る)	ひか･る, ひかり	light, shine	ray, light	2023-07-09T18:39:43.885059
科	3	2	531	9	427	320	320	カ	カ			department, course	department, course, section	2023-07-09T18:39:43.885059
太	3	2	552	4	273	629	639	タイ, タ	タイ, タ	ふと(い), ふと(る)	ふと･い, ふと･る	big, fat, thick	plump, thick, big around	2023-07-09T18:39:43.885059
園	3	2	628	13	386	447	454	エン	エン	その	その	garden	park, garden, yard, farm	2023-07-10T19:05:21.205335
馬	3	2	639	10	369	283	283	バ	バ	うま, ま	うま, うま-, ま	horse	horse	2023-07-10T19:05:21.205335
顔	3	2	676	18	252	277	277	ガン	ガン	かお	かお	face	face, expression	2023-07-10T19:05:21.205335
船	3	2	713	11	767	376	377	セン	セン	ふね, ふな	ふね, ふな-	ship, boat	ship, boat	2023-07-11T22:09:53.025899
遠	3	2	887	13	249	446	453	エン, オン	エン, オン	とお(い)	とお･い	far, distant	distant, far	2023-07-11T22:09:53.025899
絵	3	2	895	12	375	345	345	カイ, エ	カイ, エ			picture	picture, drawing, painting, sketch	2023-07-11T22:09:53.025899
晴	3	2	1022	12	506	662	673	セイ	セイ	は(れる), は(らす)	は･れる, は･れ, は･れ-, -ば･れ, は･らす	clear up	clear up	2023-07-12T20:03:09.052364
雪	3	2	1131	11	505	949	979	セツ	セツ	ゆき	ゆき	snow	snow	2023-07-12T20:03:09.052364
鳴	3	2	1279	14	923	925	948	メイ	メイ	な(く), な(る), な(らす)	な･く, な･る, な･らす	(animal) sound, ring	chirp, cry, bark, sound, ring, echo, honk	2023-07-12T20:03:09.052364
才	3	2	1497	3	697	551	560	サイ	サイ			talent, ability, age	genius, years old, cubic shaku	2023-07-13T20:56:06.188851
対	3	3	34	7	780	365	366	タイ, ツイ	タイ, ツイ		あいて, こた･える, そろ･い, つれあ･い, なら･ぶ, むか･う	opposite, against	vis-a-vis, opposite, even, equal, versus, anti-, compare	2023-07-13T20:56:06.188851
部	3	3	36	11	552	86	86	ブ	ブ		-べ	part, section	section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine	2023-07-13T20:56:06.188851
相	3	3	45	9	282	146	146	ソウ, ショウ	ソウ, ショウ	あい	あい-	aspect, phase, each other	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy	2023-07-14T21:57:59.760947
定	3	3	48	8	512	355	356	テイ, ジョウ	テイ, ジョウ	さだ(める), さだ(まる), さだ(か)	さだ･める, さだ･まる, さだ･か	     determine	determine, fix, establish, decide	2023-07-14T21:57:59.760947
実	3	3	68	8	760	203	203	ジツ	ジツ, シツ	み, みの(る)	み, みの･る, まこと, みの, みち･る	true, real, fruit, nut	reality, truth, seed, fruit, nut	2023-07-14T21:57:59.760947
決	3	3	71	7	562	356	357	ケツ	ケツ	き(める), き(まる)	き･める, -ぎ･め, き･まる, さ･く	decide	decide, fix, agree upon, appoint	2023-07-15T18:21:06.051954
全	3	3	75	6	724	89	89	ゼン	ゼン	まった(く), すべ(て)	まった･く, すべ･て	all, entire, whole	whole, entire, all, complete, fulfill	2023-07-15T18:21:06.051954
表	3	3	77	8	313	272	272	ヒョウ	ヒョウ	おもて, あらわ(す), あらわ(れる)	おもて, -おもて, あらわ･す, あらわ･れる, あら･わす	surface, chart, express	surface, table, chart, diagram	2023-07-15T18:21:06.051954
調	3	3	87	15	521	342	342	チョウ	チョウ	しら(べる), ととの(う), ととの(える)	しら･べる, しら･べ, ととの･う, ととの･える	investigate, check, prepare	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate	2023-07-16T20:03:11.645709
化	3	3	89	4	428	254	254	カ, ケ	カ, ケ	ば(ける), ば(かす)	ば･ける, ば･かす, ふ･ける, け･する	change, bewitch	change, take the form of, influence, enchant, delude, -ization	2023-07-16T20:03:11.645709
期	3	3	117	12	525	449	456	キ, ゴ	キ, ゴ			time, period, term	period, time, date, term	2023-07-16T20:03:11.645709
取	3	3	122	8	534	65	65	シュ	シュ	と(る)	と･る, と･り, と･り-, とり, -ど･り	take	take, fetch, take up	2023-07-17T21:04:30.697777
都	3	3	123	11	277	188	188	ト, ツ	ト, ツ	みやこ	みやこ	capital city, metropolis	metropolis, capital, all, everything	2023-07-17T21:04:30.697777
和	3	3	124	8	393	124	124	ワ, オ	ワ, オ, カ	やわ(らぐ), なご(む), なご(やか)	やわ･らぐ, やわ･らげる, なご･む, なご･やか, あ･える	peace, harmony, Japanese	harmony, Japanese style, peace, soften, Japan	2023-07-17T21:04:30.697777
平	3	3	128	5	868	202	202	ヘイ, ビョウ	ヘイ, ビョウ, ヒョウ	たい(ら), ひら	たい･ら, たい･らげる, ひら	flat, level	even, flat, peace	2023-08-02T21:17:55.132959
受	3	3	136	8	359	260	260	ジュ	ジュ	う(ける), う(かる)	う･ける, -う･け, う･かる	receive, accept	accept, undergo, answer (phone), take, get, catch, receive	2023-08-02T21:17:55.132959
進	3	3	142	11	268	437	443	シン	シン	すす(む), すす(める)	すす･む, すす･める	advance, progress	advance, proceed, progress, promote	2023-08-02T21:17:55.132959
指	3	3	155	9	714	1041	1082	シ	シ	ゆび, さ(す)	ゆび, さ･す, -さ･し	finger, point	finger, point to, indicate, put into, play (chess), measure (ruler)	2023-08-03T18:49:40.174530
予	3	3	180	4	511	393	397	ヨ	ヨ, シャ		あらかじ･め	previously, in advance	beforehand, previous, myself, I	2023-08-03T18:49:40.174530
向	3	3	182	6	595	199	199	コウ	コウ	む(く), む(ける), む(かう), む(こう)	む･く, む･い, -む･き, む･ける, -む･け, む･かう, む･かい, む･こう, む･こう-, むこ, むか･い	face, turn, opposite	yonder, facing, beyond, confront, defy, tend toward, approach	2023-08-03T18:49:40.174530
勝	3	3	185	12	475	509	518	ショウ	ショウ	か(つ), まさ(る)	か･つ, -が･ち, まさ･る, すぐ･れる, かつ	win, excel	victory, win, prevail, excel	2023-08-04T21:24:04.961577
面	3	3	186	9	422	274	274	メン	メン, ベン	おも, おもて, つら	おも, おもて, つら	face, mask, surface	mask, face, features, surface	2023-08-04T21:24:04.961577
反	3	3	191	4	864	324	324	ハン, ホン, タン	ハン, ホン, タン, ホ	そ(る), そ(らす)	そ･る, そ･らす, かえ･す, かえ･る, -かえ･る	anti-, warp	anti-	2023-08-04T21:24:04.961577
所	3	3	221	8	265	153	153	ショ	ショ	ところ	ところ, -ところ, どころ, とこ	place, area	place, extent	2023-08-05T20:57:43.389493
次	3	3	222	6	735	384	385	ジ, シ	ジ, シ	つぎ, つ(ぐ)	つ･ぐ, つぎ	next	next, order, sequence	2023-08-05T20:57:43.389493
係	3	3	232	9	454	909	931	ケイ	ケイ	かか(る), かかり	かか･る, かかり, -がかり, かか･わる	charge, connection, duty	person in charge, connection, duty, concern oneself	2023-08-05T20:57:43.389493
感	3	3	233	13	491	262	262	カン	カン			feeling, sensation	emotion, feeling, sensation	2023-08-07T19:54:06.199011
投	3	3	236	7	788	1021	1060	トウ	トウ	な(げる)	な･げる, -な･げ	throw, abandon	throw, discard, abandon, launch into, join, invest in, hurl, give up, sell at a loss	2023-08-07T19:54:06.199011
打	3	3	239	5	365	1020	1059	ダ	ダ, ダース	う(つ)	う･つ, う･ち-, ぶ･つ	hit, strike	strike, hit, knock, pound, dozen	2023-08-07T19:54:06.199011
両	3	3	247	6	557	200	200	リョウ	リョウ		てる, ふたつ	both	both, old Japanese coin, counter for carriages (e.g., in a train), two	2023-08-08T21:48:00.151957
式	3	3	251	6	575	525	534	シキ	シキ			ceremony, style, method	style, ceremony, rite, function, method, system, form, expression	2023-08-08T21:48:00.151957
談	3	3	272	15	684	593	603	ダン	ダン			discussion, conversation	discuss, talk	2023-08-08T21:48:00.151957
流	3	3	280	10	752	247	247	リュウ, ル	リュウ, ル	なが(れる), なが(す)	なが･れる, なが･れ, なが･す, -なが･す	flow, current, pour	current, a sink, flow, forfeit	2023-08-09T21:12:15.126565
局	3	3	286	7	551	170	170	キョク	キョク		つぼね	bureau, office	bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment	2023-08-09T21:12:15.126565
放	3	3	288	8	946	512	521	ホウ	ホウ	はな(す), はな(つ), はな(れる), ほう(る)	はな･す, -っぱな･し, はな･つ, はな･れる, こ･く, ほう･る	let go, release, fire	set free, release, fire, shoot, emit, banish, liberate	2023-08-09T21:12:15.126565
球	3	3	302	11	566	726	739	キュウ	キュウ	たま	たま	ball, sphere	ball, sphere	2023-08-10T20:17:42.733404
役	3	3	315	7	380	375	376	ヤク, エキ	ヤク, エキ			office, service, battle	duty, war, campaign, drafted labor, office, service, role	2023-08-10T20:17:42.733404
身	3	3	320	7	824	59	59	シン	シン	み	み	body, person	somebody, person, one's station in life	2023-08-10T20:17:42.733404
由	3	3	325	5	991	363	364	ユ, ユウ, ユイ	ユ, ユウ, ユイ	よし	よし, よ･る	reason	wherefore, a reason	2023-08-11T18:51:32.691016
消	3	3	345	10	535	845	864	ショウ	ショウ	け(す), き(える)	き･える, け･す	extinguish, go out, disappear	extinguish, blow out, turn off, neutralize, cancel	2023-08-11T18:51:32.691016
神	3	3	347	9	483	310	310	シン, ジン	シン, ジン	かみ	かみ, かん-, こう-	god	gods, mind, soul	2023-08-11T18:51:32.691016
配	3	3	359	10	614	515	524	ハイ	ハイ	くば(る)	くば･る	distribute, deliver	distribute, spouse, exile, rationing	2023-08-12T12:52:32.587646
育	3	3	369	8	332	246	246	イク	イク	そだ(つ), そだ(てる)	そだ･つ, そだ･ち, そだ･てる, はぐく･む	grow up, raise, educate	bring up, grow up, raise, rear	2023-08-12T12:52:32.587646
乗	3	3	377	9	266	523	532	ジョウ	ジョウ, ショウ	の(る), の(せる)	の･る, -の･り, の･せる	get on, ride	ride, power, multiplication, record, counter for vehicles, board, mount, join	2023-08-12T12:52:32.587646
想	3	3	381	13	846	147	147	ソウ, ソ	ソウ, ソ		おも･う	idea, thought	concept, think, idea, thought	2023-08-13T13:38:35.589988
助	3	3	397	7	691	623	633	ジョ	ジョ	たす(ける), たす(かる), すけ	たす･ける, たす･かる, す･ける, すけ	help, assist, rescue	help, rescue, assist	2023-08-13T13:38:35.589988
追	3	3	411	9	396	1174	1232	ツイ	ツイ	お(う)	お･う	chase, pursue, drive away	chase, drive away, follow, pursue, meanwhile	2023-08-13T13:38:35.589988
商	3	3	413	11	284	412	418	ショウ	ショウ	あきな(う)	あきな･う	trade, sell	make a deal, selling, dealing in, merchant	2023-08-14T17:58:29.129506
葉	3	3	414	12	518	253	253	ヨウ	ヨウ	は	は	leaf, foliage	leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece	2023-08-14T17:58:29.129506
落	3	3	420	12	415	839	858	ラク	ラク	お(ちる), お(とす)	お･ちる, お･ち, お･とす	fall, drop	fall, drop, come down, village, hamlet	2023-08-14T17:58:29.129506
負	3	3	443	9	395	510	519	フ	フ	ま(ける), ま(かす), お(う)	ま･ける, ま･かす, お･う	defeat, carry, owe	defeat, negative, -, minus, bear, owe, assume a responsibility	2023-08-15T19:50:08.437464
守	3	3	457	6	753	490	499	シュ, ス	シュ, ス	まも(る), もり	まも･る, まも･り, もり, -もり, かみ	protect, defend, obey	guard, protect, defend, obey	2023-08-15T19:50:08.437464
美	3	3	462	9	366	401	405	ビ	ビ, ミ	うつく(しい)	うつく･しい	beautiful	beauty, beautiful	2023-08-15T19:50:08.437464
命	3	3	465	8	345	578	587	メイ, ミョウ	メイ, ミョウ	いのち	いのち	life, command, fate	fate, command, decree, destiny, life, appoint	2023-08-17T20:04:56.231805
福	3	3	467	13	969	1379	1466	フク	フク			fortune, blessing	blessing, fortune, luck, wealth	2023-08-17T20:04:56.231805
横	3	3	480	15	400	781	795	オウ	オウ	よこ	よこ	side, horizontal, width	sideways, side, horizontal, width, woof, unreasonable, perverse	2023-08-17T20:04:56.231805
深	3	3	484	11	825	536	545	シン	シン	ふか(い), ふか(める), ふか(まる)	ふか･い, -ぶか･い, ふか･まる, ふか･める, み-	deep, intensify	deep, heighten, intensify, strengthen	2023-08-18T21:36:09.720144
申	3	3	492	5	688	309	309	シン	シン	もう(す)	もう･す, もう･し-, さる	say, be called	have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac	2023-08-18T21:36:09.720144
様	3	3	493	14	718	403	407	ヨウ	ヨウ, ショウ	さま	さま, さん	way, manner, (polite suffix)	Esq., way, manner, situation, polite suffix	2023-08-18T21:36:09.720144
港	3	3	495	12	648	669	680	コウ	コウ	みなと	みなと	harbor, port	harbor	2023-08-20T13:23:34.508459
路	3	3	529	13	743	151	151	ロ	ロ, ル	じ	-じ, みち	road, street	path, route, road, distance	2023-08-20T13:23:34.508459
他	3	3	543	5	1012	120	120	タ	タ	ほか	ほか	other, another	other, another, the others	2023-08-20T13:23:34.508459
客	3	3	557	9	459	641	651	キャク, カク 	キャク, カク			guest, customer	guest, visitor, customer, client	2023-08-22T20:15:25.548119
登	3	3	566	12	900	960	991	トウ, ト	トウ, ト, ドウ, ショウ, チョウ	のぼ(る)	のぼ･る, あ･がる	climb	ascend, climb up	2023-08-22T20:15:25.548119
速	3	3	576	10	782	502	511	ソク	ソク	はや(い), はや(まる), はや(める), すみ(やか)	はや･い, はや-, はや･める, すみ･やか	fast, quick	quick, fast	2023-08-22T20:15:25.548119
号	3	3	585	5	553	266	266	ゴウ	ゴウ		さけ･ぶ, よびな	number, nickname	nickname, number, item, title, pseudonym, name, call	2023-08-24T20:58:36.550672
苦	3	3	623	8	606	545	554	ク	ク	くる(しい), くる(しむ), くる(しめる), にが(い), にが(る)	くる･しい, -ぐる･しい, くる･しむ, くる･しめる, にが･い, にが･る	suffer, bitter, painful	suffering, trial, worry, hardship, feel bitter, scowl	2023-08-24T20:58:36.550672
具	3	3	629	8	609	420	426	グ	グ		そな･える, つぶさ･に	tool, ingredients	tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture	2023-08-24T20:58:36.550672
返	3	3	685	7	449	442	448	ヘン	ヘン	かえ(す), かえ(る)	かえ･す, -かえ･す, かえ･る, -かえ･る	return	return, answer, fade, repay	2023-09-04T13:14:01.321148
宿	3	3	701	11	547	179	179	シュク	シュク	やど, やど(る), やど(す)	やど, やど･る, やど･す	lodging, inn, shelter	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling	2023-09-04T13:14:01.321148
薬	3	3	702	16	281	359	360	ヤク	ヤク	くすり	くすり	medicine, drug	medicine, chemical, enamel, gunpowder, benefit	2023-09-04T13:14:01.321148
幸	3	3	786	8	647	684	697	コウ	コウ	さいわ(い), さち, しあわ(せ)	さいわ･い, さち, しあわ･せ	happiness, fortune	happiness, blessing, fortune	2023-09-07T19:36:02.077508
等	3	3	798	12	904	569	578	トウ	トウ	ひと(しい)	ひと･しい, など, -ら	equal, similar, class	etc., and so forth, class (first), quality, equal, similar	2023-09-07T19:36:02.077508
曲	3	3	810	6	594	366	367	キョク	キョク	ま(がる), ま(げる)	ま･がる, ま･げる, くま	music, melody, bend, curve	bend, music, melody, composition, pleasure, injustice, fault, curve, crooked, perverse, lean	2023-09-07T19:36:02.077508
庭	3	3	816	10	894	1112	1164	テイ	テイ	にわ	にわ	garden, courtyard	courtyard, garden, yard	2023-09-08T12:52:23.601781
息	3	3	882	10	328	1242	1308	ソク	ソク	いき	いき	breath	breath, respiration, son, interest (on money), nuture, rest, coming to an end	2023-09-08T12:52:23.601781
列	3	3	927	6	820	611	621	レツ	レツ, レ			row	file, row, rank, tier, column	2023-09-08T12:52:23.601781
遊	3	3	941	12	288	1003	1040	ユウ, ユ	ユウ, ユ	あそ(ぶ)	あそ･ぶ, あそ･ばす	play	play	2023-09-09T19:24:29.721578
君	3	3	947	7	563	793	807	クン	クン	きみ	きみ, -ぎみ	you, ruler	mister, you, ruler, male name suffix	2023-09-09T19:24:29.721578
酒	3	3	1006	10	707	517	526	シュ	シュ	さけ, さか	さけ, さか-	sake, alcohol	sake, alcohol	2023-09-09T19:24:29.721578
悲	3	3	1014	12	479	1034	1075	ヒ	ヒ	かな(しい), かな(しむ)	かな･しい, かな･しむ	sad, regret	grieve, sad, deplore, regret	2023-09-10T16:49:17.162260
暗	3	3	1040	13	247	348	348	アン	アン	くら(い)	くら･い, くら･む, くれ･る	dark, dim	darkness, disappear, shade, informal, grow dark, be blinded	2023-09-10T16:49:17.162260
陽	3	3	1071	12	994	630	640	ヨウ	ヨウ		ひ	sun, positive	sunshine, yang principle, positive, male, heaven, daytime	2023-09-10T16:49:17.162260
歯	3	3	1106	12	737	478	486	シ	シ	は	よわい, は, よわ･い, よわい･する	tooth	tooth, cog	2023-09-11T10:54:15.125930
礼	3	3	1185	5	659	620	630	レイ, ライ	レイ, ライ			thanks, gratitude	salute, bow, ceremony, thanks, remuneration	2023-09-11T10:54:15.125930
昔	3	3	1197	8	762	764	778	セキ, シャク	セキ, シャク	むかし	むかし	antiquity, long ago	once upon a time, antiquity, old times	2023-09-11T10:54:15.125930
泳	3	3	1223	8	376	1208	1271	エイ	エイ	およ(ぐ)	およ･ぐ	swim	swim	2023-09-12T14:35:35.437419
箱	3	3	1357	15	942	1091	1142	ソウ	ソウ	はこ	はこ	box	box, chest, case, bin, railway car	2023-09-12T14:35:35.437419
寒	3	3	1456	12	251	457	464	カン	カン	さむ(い)	さむ･い	cold	cold	2023-09-12T14:35:35.437419
議	3	4	25	20	532	292	292	ギ	ギ			deliberation	deliberation, consultation, debate, consideration	2023-09-13T18:30:14.930134
民	3	4	28	5	279	177	177	ミン	ミン	たみ	たみ	people, nation	people, nation, subjects	2023-09-13T18:30:14.930134
連	3	4	30	10	692	440	446	レン	レン	つ(れる), つら(ねる), つら(なる)	つら･なる, つら･ねる, つ･れる, -づ･れ	take, lead, group	take along, lead, join, connect, party, gang, clique	2023-09-13T18:30:14.930134
選	3	4	57	15	385	800	814	セン	セン	えら(ぶ)	えら･ぶ, え･る, よ･る	choose, select	elect, select, choose, prefer	2023-09-14T17:18:32.980635
関	3	4	70	14	495	398	402	カン	カン	せき, かか(わる)	せき, -ぜき, かか･わる, からくり, かんぬき	connection, barrier	connection, barrier, gateway, involve, concerning	2023-09-14T17:18:32.980635
戦	3	4	78	13	333	301	301	セン	セン	いくさ, たたか(う)	いくさ, たたか･う, おのの･く, そよ･ぐ, わなな･く	battle, war	war, battle, match	2023-09-14T17:18:32.980635
最	3	4	82	12	699	263	263	サイ	サイ, シュ	もっと(も)	もっと･も, つま	most, extreme	utmost, most, extreme	2023-09-15T20:24:03.030891
約	3	4	94	9	513	211	211	ヤク	ヤク		つづ･まる, つづ･める, つづま･やか	approximately, promise	promise, approximately, shrink	2023-09-15T20:24:03.030891
法	3	4	100	8	548	123	123	ホウ, ハッ, ホッ	ホウ, ハッ, ホッ, フラン		のり	method, law	method, law, rule, principle, model, system	2023-09-15T20:24:03.030891
要	3	4	106	9	347	419	425	ヨウ	ヨウ	い(る), かなめ	い･る, かなめ	main point, need	need, main point, essence, pivot, key to	2023-09-16T22:05:52.954725
治	3	4	109	8	412	493	502	ジ, チ	ジ, チ	おさ(める), おさ(まる), なお(る), なお(す)	おさ･める, おさ･まる, なお･る, なお･す	govern, rule, cure	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve	2023-09-16T22:05:52.954725
成	3	4	116	6	778	261	261	セイ, ジョウ	セイ, ジョウ	な(る), な(す)	な･る, な･す, -な･す	become, grow, consist	turn into, become, get, grow, elapse, reach	2023-09-16T22:05:52.954725
