kanji	jlpt	grade	freq	strokes	learned	ref_sh_kk	ref_sh_kk2	on'yomi	KD on'yomi	kun'yomi	KD kun'yomi	meaning	KD meaning	time_learned
上	5	1	35	3	41	32	32	ジョウ, ショウ	ジョウ, ショウ, シャン	かみ, うえ, あ(げる), あ(がる), の(ぼる)	うえ, -うえ, うわ-, かみ, あ･げる, -あ･げる, あ･がる, -あ･がる, あ･がり, -あ･がり, のぼ･る, のぼ･り, のぼ･せる, のぼ･す, たてまつ･る	up, above, top, on	above, up	
下	5	1	97	3	42	31	31	カ, ゲ	カ, ゲ	した, しも, もと, さ(げる), さ(がる), くだ(る), くだ(す), くだ(さる), お(りる), お(ろす)	した, しも, もと, さ･げる, さ･がる, くだ･る, くだ･り, くだ･す, -くだ･す, くだ･さる, お･ろす, お･りる	bottom, down, under, lower, give	below, down, descend, give, low, inferior	
左	5	1	630	5	43	75	75	サ	サ, シャ	ひだり	ひだり	left	left	
右	5	1	602	5	44	76	76	ウ, ユウ	ウ, ユウ	みぎ	みぎ	right	right	
東	5	2	37	8	45	71	71	トウ	トウ	ひがし	ひがし	east	east	
西	5	2	259	6	46	72	72	サイ, セイ	セイ, サイ, ス	にし	にし	west	west, Spain	
南	5	2	341	9	47	74	74	ナン	ナン, ナ	みなみ	みなみ	south	south	
北	5	2	153	5	48	73	73	ホク	ホク	きた	きた	north	north	
外	5	2	81	5	49	83	83	ガイ, ゲ	ガイ, ゲ	そと, ほか	そと, ほか, はず･す, はず･れる, と-	outside, foreign	outside	
名	5	1	177	6	50	82	82	メイ, ミョウ	メイ, ミョウ	な	な, -な	name, fame, famous	name, noted, distinguished, reputation	
高	5	2	65	10	51	190	190	コウ	コウ	たか(い)	たか･い, たか, -だか, たか･まる, たか･める	tall, high, costly, expensive	tall, high, expensive	
小	5	1	114	3	52	27	27	ショウ	ショウ	ちい(さい), こ, お	ちい･さい, こ-, お-, さ-	small	little, small	
中	5	1	11	4	53	28	28	チュウ	チュウ	なか	なか, うち, あた･る	middle, center, within, inside, in	in, inside, middle, mean, center	
大	5	1	7	3	54	26	26	ダイ, タイ	ダイ, タイ	おお(きい)	おお-, おお･きい, -おお･いに	big	large, big	
長	5	2	12	8	55	95	95	チョウ	チョウ	なが(い)	なが･い, おさ	chief, long	long, leader, superior, senior	
半	5	2	224	5	56	88	88	ハン	ハン	なか(ば)	なか･ば	half	half, middle, odd number, semi-, part-	
分	5	2	24	4	57	38	38	ブ, フン, ブン	ブン, フン, ブ	わ(かる), わ(ける), わ(かれる)	わ･ける, わ･け, わ･かれる, わ･かる, わ･かつ	divide, minute, part, understand	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100	
学	5	1	63	8	58	109	109	ガク	ガク	まな(ぶ)	まな･ぶ	learn	study, learning, science	
校	5	1	294	10	59	115	115	コウ	コウ, キョウ			school	exam, school, printing, proof, correction	
生	5	1	29	5	60	44	44	セイ, ショウ	セイ, ショウ	い(きる), う(まれる), なま	い･きる, い･かす, い･ける, う･まれる, うま･れる, う･まれ, うまれ, う･む, お･う, は･える, は･やす, き, なま, なま-, な･る, な･す, む･す, -う	life, live, birth	life, genuine, birth	
山	5	1	131	3	61	34	34	サン	サン, セン	やま	やま	mountain	mountain	
川	5	1	181	3	62	33	33	セン	セン	かわ	かわ	river	stream, river, river or three-stroke river radical (no. 47)	
白	5	1	483	5	63	205	205	ハク, ビャク	ハク, ビャク	しろ(い)	しろ, しら-, しろ･い	white	white	
天	5	1	512	4	64	141	141	テン	テン	あま, あめ	あまつ, あめ, あま-	heaven, sky	heavens, sky, imperial	
雨	5	1	950	8	65	30	30	ウ	ウ	あめ, あま	あめ, あま-, -さめ	rain	rain	
電	5	2	268	13	66	108	108	デン	デン			electricity	electricity	
